402,"20090820",9,111,2001,"KwaJ",,"sp2",,,,"TH",,,"QU 1/2~QU 3/4","KFL",,1,"QU 1/2~QU 3/4",C,200908100749,
403,"20090820",10,111,2001,"KwaJ",,"sp2",,,,"TH",,,"QU 1/2~QU 3/4","KFL",,1,"QU 1/2~QU 3/4",C,200908100749,
405,"20090821",1,111,1921,"KwaJ",,"MA2",,,,"g17",,,"QU 1/2","KFL",,1,"QU 1/2",C,200908100750,
406,"20090821",2,111,1921,"KwaJ",,"MA2",,,,"g17",,,"QU 1/2","KFL",,1,"QU 1/2",C,200908100750,
407,"20090821",3,111,96,"KwaJ",,"M",,,,"045","045",,"08E","KFL",,16,,L,200908032331,
408,"20090821",4,111,1774,"KwaJ","KieE","M",,"V",,"n03","n03",,"05B","KFL",,0,"05B",,200908131516,
409,"20090821",5,111,97,"KwaJ","StaC","M",,"F",,"154","154",,"10C","KFL",,0,"10C",,200908191053,"+"
410,"20090821",6,111,1809,"KwaJ",,"VFG",,,,"n03",,,"05B","KFL",,1,"05B",C,200908181137,
411,"20090817",3,112,1920,"BöhW",,"DE4",,,,"g18",,,"QU 1/2","du",,1,"QU 1/2",C,200908070756,
412,"20090817",4,112,1920,"BöhW",,"DE4",,,,"g18",,,"QU 1/2","du",,1,"QU 1/2",C,200908070756,
413,"20090817",6,112,1064,"BöhW",,"D",,,,"155",,,"10D","du",,1,"10D",C,200908121243,
414,"20090817",7,112,120,"BöhW",,"D",,,,"045","045",,"08E","du",,24,,L,201101191511,
415,"20090817",8,112,119,"BöhW",,"EK",,,,"045","045",,"08E","du",,16,,L,201101191511,
416,"20090817",9,112,1999,"BöhW",,"sp6",,,,"TH",,,"QU 1/2~QU 3/4","du",,1,"QU 1/2~QU 3/4",C,200908070755,
417,"20090817",10,112,1999,"BöhW",,"sp6",,,,"TH",,,"QU 1/2~QU 3/4","du",,1,"QU 1/2~QU 3/4",C,200908070755,
418,"20090817",7,,0,"BöhW","JaeO",,,,,,,,,,,131072,,B,200908121251,
419,"20090818",1,112,120,"BöhW",,"D",,,,"045","045",,"08E","du",,16,,L,200908032331,
420,"20090818",2,112,120,"BöhW",,"D",,,,"045","045",,"08E","du",,16,,L,200908032331,
421,"20090818",5,112,677,"BöhW","LudA","SP",,"BI",,"THRS","155",,"10D","du",,0,"10D",,200908141016,"+"
422,"20090818",6,112,677,"BöhW",,"SP",,,,"THRS",,,"10D","du",,1,"10D",C,200908141014,
424,"20090819",3,112,2020,"BöhW","BögJ","PK",,"V",,"n111","n111",,"07C~07D~07E","du",,0,"07C~07D~07E",,200908130937,
425,"20090819",4,112,2020,"BöhW","BögJ","PK",,"V",,"n111","n111",,"07C~07D~07E","du",,0,"07C~07D~07E",,200908130937,
426,"20090819",5,112,683,"BöhW",,"SP",,,,"TH2","TH2",,"08E","du",,16,,L,200908032331,
427,"20090819",6,112,683,"BöhW",,"SP",,,,"TH2","TH2",,"08E","du",,16,,L,200908032331,
428,"20090820",2,112,119,"BöhW",,"EK",,,,"045","045",,"08E","du",,16,,L,200908032331,
429,"20090820",3,112,1064,"BöhW",,"D",,,,"155","155",,"10D","du",,16,,L,201101191511,
430,"20090820",4,112,1064,"BöhW",,"D",,,,"155","155",,"10D","du",,16,,L,201101191511,
431,"20090820",6,112,33,"BöhW",,"EK",,,,"g03","g03",,"08A","du",,16,,L,201101191511,
432,"20090820",7,112,1920,"BöhW",,"DE4",,,,"g18",,,"QU 1/2","du",,1,"QU 1/2",C,200908100749,
433,"20090820",8,112,1920,"BöhW",,"DE4",,,,"g18",,,"QU 1/2","du",,1,"QU 1/2",C,200908100749,
434,"20090821",1,112,1630,"BöhW","TepK","SP",,,,"THGY","THGY",,"08A","du",,0,"08A",,200908111122,"+"
435,"20090821",2,112,1630,"BöhW","TepK","SP",,,,"THGY","THGY",,"08A","du",,0,"08A",,200908111122,"+"
436,"20090821",3,112,33,"BöhW",,"EK",,,,"g03","g03",,"08A","du",,0,"08A",,200908131107,
437,"20090821",4,112,120,"BöhW",,"D",,,,"045","045",,"08E","du",,16,,L,200908032331,
438,"20091026",1,113,590,"BenH",,"EK",,,,"154","154",,"10C","KFL",,0,"10C",,200908032309,
439,"20091026",2,113,590,"BenH",,"EK",,,,"154","154",,"10C","KFL",,0,"10C",,200908032309,
440,"20091026",3,113,1236,"BenH",,"D",,,,"n114","n114",,"06A","KFL",,0,"06A",,200908032309,
441,"20091026",4,113,1236,"BenH",,"D",,,,"n114","n114",,"06A","KFL",,0,"06A",,200908032309,
442,"20091027",3,113,472,"BenH",,"D",,,,"046","040",,"08D","KFL",,16,,L,200908032330,
443,"20091027",4,113,1838,"BenH",,"EK",,,,"046","040",,"08D","KFL",,16,,L,200908032330,
444,"20091027",5,113,60,"BenH",,"EK",,,,"043","043",,"08B","KFL",,0,"08B",,200908032309,
445,"20091027",6,113,60,"BenH",,"EK",,,,"043","043",,"08B","KFL",,0,"08B",,200908032309,
446,"20091027",7,113,425,"BenH",,"EK",,,,"149","149",,"09D","KFL",,0,"09D",,200908032309,
447,"20091027",8,113,425,"BenH",,"EK",,,,"149","149",,"09D","KFL",,0,"09D",,200908032309,
449,"20091028",1,113,472,"BenH",,"D",,,,"040","040",,"08D","KFL",,16,,L,200908032330,
450,"20091028",2,113,472,"BenH",,"D",,,,"040","040",,"08D","KFL",,16,,L,200908032330,
451,"20091028",3,113,1944,"BenH",,"ek1",,,,"g19","g19",,"QU 1/2","KFL",,0,"QU 1/2",,200908032309,
452,"20091028",4,113,1944,"BenH",,"ek1",,,,"g19","g19",,"QU 1/2","KFL",,0,"QU 1/2",,200908032309,
453,"20091028",5,113,1838,"BenH",,"EK",,,,"040","040",,"08D","KFL",,16,,L,200908032330,
454,"20091028",6,113,1236,"BenH",,"D",,,,"n114","n114",,"06A","KFL",,0,"06A",,200908032309,
455,"20091029",1,113,4,"BenH",,"EK",,,,"046","046",,"08C","KFL",,16,,L,200908032329,
456,"20091029",2,113,4,"BenH",,"EK",,,,"046","046",,"08C","KFL",,16,,L,200908032329,
457,"20091029",5,113,1638,"BenH",,"EK",,,,"157","157",,"10B","KFL",,0,"10B",,200908032309,
458,"20091029",6,113,1638,"BenH",,"EK",,,,"157","157",,"10B","KFL",,0,"10B",,200908032309,
459,"20091029",7,113,1681,"BenH",,"FD",,,,"n02","n02",,"06A~06B~06C~06D~06E","KFL",,0,"06A~06B~06C~06D~06E",,200908032309,
460,"20091030",2,113,1236,"BenH",,"D",,,,"n114","n114",,"06A","KFL",,0,"06A",,200908032309,
461,"20091030",3,113,472,"BenH",,"D",,,,"040","040",,"08D","KFL",,16,,L,200908032330,
462,"20091030",5,113,1944,"BenH",,"ek1",,,,"g19","g19",,"QU 1/2","KFL",,0,"QU 1/2",,200908032309,
463,"20091030",6,113,1944,"BenH",,"ek1",,,,"g19","g19",,"QU 1/2","KFL",,0,"QU 1/2",,200908032309,
465,"20091026",1,114,681,"WipI",,"SP",,,,"TH3","TH3",,"08C","KFL",,16,,L,201101191511,
466,"20091026",2,114,681,"WipI",,"SP",,,,"TH3","TH3",,"08C","KFL",,16,,L,201101191511,
467,"20091026",5,114,1631,"WipI",,"SP",,,,"THRS","THRS",,"07D","KFL",,0,"07D",,200908032310,
468,"20091026",6,114,1631,"WipI",,"SP",,,,"THRS","THRS",,"07D","KFL",,0,"07D",,200908032310,
469,"20091026",3,,0,"WipI",,,,,,,,,,,,131072,,B,200908032310,
470,"20091027",7,114,1996,"WipI",,"sp1",,,,"TH","TH",,"QU 1/2~QU 3/4","KFL",,0,"QU 1/2~QU 3/4",,200908032310,
471,"20091027",8,114,1996,"WipI",,"sp1",,,,"TH","TH",,"QU 1/2~QU 3/4","KFL",,0,"QU 1/2~QU 3/4",,200908032310,
472,"20091027",9,114,1995,"WipI",,"sp3",,,,"THGY","THGY",,"QU 1/2~QU 3/4","KFL",,0,"QU 1/2~QU 3/4",,200908032310,
473,"20091027",10,114,1995,"WipI",,"sp3",,,,"THGY","THGY",,"QU 1/2~QU 3/4","KFL",,0,"QU 1/2~QU 3/4",,200908032310,
474,"20091028",1,114,734,"WipI",,"GE",,,,"134","134",,"07D","KFL",,0,"07D",,200908032310,
475,"20091028",2,114,734,"WipI",,"GE",,,,"134","134",,"07D","KFL",,0,"07D",,200908032310,
